distance,herding_time,coefficients_of_horses,grazing_time,num_mares,stallion_speed,herding_start,herding_end,num_significant_timesteps,true_positives,false_positives,false_negatives,precision,recall,f1_score
0.5,200,0.1,500,6,0.2,299,499,10,10,0,191,1.0,0.05,0.09523809523809523
0.5,200,0.1,500,6,0.5,132,332,3,3,0,198,1.0,0.015,0.02955665024630542
0.5,200,0.1,500,6,1.0,480,680,7,7,0,194,1.0,0.035,0.0676328502415459
0.5,200,0.1,500,8,0.2,202,402,5,5,0,196,1.0,0.025,0.04878048780487806
0.5,200,0.1,500,8,0.5,281,481,4,4,0,197,1.0,0.02,0.0392156862745098
0.5,200,0.1,500,8,1.0,303,503,4,4,0,197,1.0,0.02,0.0392156862745098
0.5,200,0.1,1500,4,0.2,136,336,37,37,0,164,1.0,0.185,0.3122362869198312
0.5,200,0.1,1500,4,0.5,237,437,21,21,0,180,1.0,0.105,0.19004524886877827
0.5,200,0.1,1500,4,1.0,667,867,14,14,0,187,1.0,0.07,0.13084112149532712
0.5,200,0.1,1500,6,0.2,217,417,62,62,0,139,1.0,0.31,0.47328244274809156
0.5,200,0.1,1500,6,0.5,1079,1279,19,19,0,182,1.0,0.095,0.17351598173515984
0.5,200,0.1,1500,6,1.0,516,716,19,19,0,182,1.0,0.095,0.17351598173515984
0.5,200,0.1,1500,8,0.2,528,728,48,48,0,153,1.0,0.24,0.3870967741935484
0.5,200,0.1,1500,8,0.5,1260,1460,28,28,0,173,1.0,0.14,0.24561403508771928
0.5,200,0.1,1500,8,1.0,113,313,29,29,0,172,1.0,0.145,0.25327510917030566
0.5,200,0.1,2500,4,0.2,463,663,68,68,0,133,1.0,0.34,0.5074626865671642
0.5,200,0.1,2500,4,0.5,2399,2599,38,38,0,163,1.0,0.19,0.319327731092437
0.5,200,0.1,2500,4,1.0,485,685,21,21,0,180,1.0,0.105,0.19004524886877827
0.5,200,0.1,2500,6,0.2,2493,2693,139,139,0,62,1.0,0.695,0.8200589970501475
0.5,200,0.1,2500,6,0.5,2247,2447,42,42,0,159,1.0,0.21,0.34710743801652894
0.5,200,0.1,2500,6,1.0,1505,1705,22,22,0,179,1.0,0.11,0.19819819819819817
0.5,200,0.1,2500,8,0.2,451,651,87,87,0,114,1.0,0.435,0.6062717770034843
0.5,200,0.1,2500,8,0.5,1619,1819,30,30,0,171,1.0,0.15,0.2608695652173913
0.5,200,0.1,2500,8,1.0,592,792,32,32,0,169,1.0,0.16,0.2758620689655173
0.5,200,0.5,500,4,0.2,273,473,5,5,0,196,1.0,0.025,0.04878048780487806
